protein,coefficient,enrichment,recall,precision,celltype.l3,protein_order
CD8a,1.296,222.783,0.022,0.222,CD8 Proliferating,9
CD169,0.776,222.783,0.022,0.222,CD8 Proliferating,10
CD8,-0.909,99.174,0.001,1.000,CD8 TCM_1,1
CD127,1.401,16.529,0.001,0.167,CD8 TCM_1,2
CD55,0.421,24.794,0.002,0.250,CD8 TCM_1,3
CD8a,2.241,8.265,0.001,0.083,CD8 TCM_1,4
`CD138-1`,0.491,15.258,0.002,0.154,CD8 TCM_1,5
CD244,-1.075,33.058,0.002,0.333,CD8 TCM_1,6
CD49a,0.831,24.794,0.022,0.250,CD8 TCM_1,7
`CD44-1`,-0.752,27.048,0.023,0.273,CD8 TCM_1,8
CD103,-0.419,26.960,0.030,0.272,CD8 TCM_1,9
CD195,-0.519,28.733,0.033,0.290,CD8 TCM_1,10
CD8a,2.496,69.714,0.001,1.000,CD8 TCM_2,1
CD28,2.627,13.732,0.010,0.197,CD8 TCM_2,2
CD49a,0.784,39.418,0.183,0.565,CD8 TCM_2,3
CD194,2.716,50.054,0.314,0.718,CD8 TCM_2,4
CD29,0.350,48.378,0.320,0.694,CD8 TCM_2,5
`Integrin-7`,-2.313,48.377,0.423,0.694,CD8 TCM_2,6
`CD4-2`,-2.715,49.272,0.457,0.707,CD8 TCM_2,7
CD195,-1.979,50.233,0.509,0.721,CD8 TCM_2,8
CD244,-2.510,50.101,0.550,0.719,CD8 TCM_2,9
CD8,-1.881,50.969,0.563,0.731,CD8 TCM_2,10
CD103,2.495,103.250,0.649,0.709,CD8 TCM_3,1
CD314,2.704,117.198,0.760,0.804,CD8 TCM_3,2
`Notch-2`,0.553,117.449,0.755,0.806,CD8 TCM_3,3
`Integrin-7`,1.711,125.509,0.825,0.861,CD8 TCM_3,4
`CD26-2`,-0.348,125.302,0.825,0.860,CD8 TCM_3,5
CD305,-0.251,125.509,0.825,0.861,CD8 TCM_3,6
CD244,-1.389,125.027,0.831,0.858,CD8 TCM_3,7
`B7-H4`,0.045,125.027,0.831,0.858,CD8 TCM_3,8
CD70,0.459,124.993,0.829,0.858,CD8 TCM_3,9
CLEC12A,-0.166,125.231,0.831,0.859,CD8 TCM_3,10
CD8,1.646,33.094,0.000,1.000,CD8 TEM_1,1
CD81,1.985,16.179,0.103,0.489,CD8 TEM_1,2
CD28,2.391,21.457,0.263,0.648,CD8 TEM_1,3
CD279,1.268,21.874,0.306,0.661,CD8 TEM_1,4
CD314,1.515,22.429,0.351,0.678,CD8 TEM_1,5
CD55,-1.847,22.809,0.395,0.689,CD8 TEM_1,6
`CD56-2`,-1.230,23.249,0.410,0.703,CD8 TEM_1,7
`CD3-2`,-0.768,23.250,0.417,0.703,CD8 TEM_1,8
CD278,-1.341,23.801,0.457,0.719,CD8 TEM_1,9
CD305,-1.323,23.917,0.480,0.723,CD8 TEM_1,10
CD8a,1.228,37.862,0.000,1.000,CD8 TEM_2,1
CD244,0.893,13.169,0.026,0.348,CD8 TEM_2,2
CD81,1.604,18.154,0.120,0.479,CD8 TEM_2,3
TIGIT,1.616,20.114,0.181,0.531,CD8 TEM_2,4
CD43,0.181,19.852,0.177,0.524,CD8 TEM_2,5
`CD56-2`,-2.114,20.793,0.264,0.549,CD8 TEM_2,6
CD73,-1.183,21.059,0.274,0.556,CD8 TEM_2,7
CD28,-1.239,21.711,0.319,0.573,CD8 TEM_2,8
CD47,-1.726,22.293,0.336,0.589,CD8 TEM_2,9
CD307e,-0.625,22.470,0.343,0.593,CD8 TEM_2,10
CD8a,1.911,234.091,0.003,1.000,CD8 TEM_3,1
CD49d,1.309,234.091,0.003,1.000,CD8 TEM_3,2
CD195,1.678,117.046,0.018,0.500,CD8 TEM_3,3
CD29,0.159,104.041,0.020,0.444,CD8 TEM_3,4
`CD56-1`,0.740,103.000,0.028,0.440,CD8 TEM_3,5
`Integrin-7`,-0.869,111.957,0.028,0.478,CD8 TEM_3,6
CD279,-1.222,113.010,0.036,0.483,CD8 TEM_3,7
CD57,-1.273,123.931,0.046,0.529,CD8 TEM_3,8
CD49a,0.465,127.224,0.063,0.543,CD8 TEM_3,9
CD28,-0.159,117.046,0.061,0.500,CD8 TEM_3,10
CD8a,1.405,10.526,0.001,0.400,CD8 TEM_4,1
CD43,0.647,13.228,0.213,0.503,CD8 TEM_4,2
CD271,0.813,14.166,0.278,0.538,CD8 TEM_4,3
`CD3-2`,1.223,14.636,0.326,0.556,CD8 TEM_4,4
`CD275-1`,0.767,15.021,0.345,0.571,CD8 TEM_4,5
CD27,-1.527,15.073,0.420,0.573,CD8 TEM_4,6
`Integrin-7`,-1.262,15.836,0.492,0.602,CD8 TEM_4,7
CD127,-0.907,15.609,0.492,0.593,CD8 TEM_4,8
`CD56-2`,-1.257,17.466,0.542,0.664,CD8 TEM_4,9
CD307e,-0.838,17.628,0.555,0.670,CD8 TEM_4,10
CD8a,1.866,46.723,0.001,1.000,CD8 TEM_5,1
CD43,0.935,13.350,0.044,0.286,CD8 TEM_5,2
`CD56-2`,1.788,25.907,0.204,0.554,CD8 TEM_5,3
`CD3-2`,0.816,26.685,0.273,0.571,CD8 TEM_5,4
CD57,0.404,27.647,0.289,0.592,CD8 TEM_5,5
CD2,-2.003,29.232,0.368,0.626,CD8 TEM_5,6
CD27,-1.200,29.329,0.381,0.628,CD8 TEM_5,7
CD161,-2.004,30.248,0.419,0.647,CD8 TEM_5,8
CD335,-1.465,30.351,0.437,0.650,CD8 TEM_5,9
CD127,-0.432,30.429,0.435,0.651,CD8 TEM_5,10
CD8a,1.308,144.791,0.002,1.000,CD8 TEM_6,1
CD27,3.227,63.346,0.011,0.438,CD8 TEM_6,2
CD305,3.105,109.572,0.264,0.757,CD8 TEM_6,3
CD18,3.405,115.472,0.402,0.798,CD8 TEM_6,4
CD73,1.248,117.531,0.413,0.812,CD8 TEM_6,5
CD28,-2.901,122.434,0.542,0.846,CD8 TEM_6,6
CD43,-2.404,123.762,0.564,0.855,CD8 TEM_6,7
CD19,-0.997,122.721,0.576,0.848,CD8 TEM_6,8
`CD45-2`,-2.773,124.154,0.586,0.857,CD8 TEM_6,9
CD55,-2.848,124.151,0.623,0.857,CD8 TEM_6,10
CD123,4.375,2249.561,0.024,1.000,ASDC_mDC,1
CD279,-0.183,2249.561,0.024,1.000,ASDC_mDC,2
CD18,6.873,1405.976,0.122,0.625,ASDC_mDC,3
`TCR-V-2`,0.328,1405.976,0.122,0.625,ASDC_mDC,4
CD103,1.276,1405.976,0.122,0.625,ASDC_mDC,5
CD28,-0.459,1574.693,0.171,0.700,ASDC_mDC,6
CD68,0.945,1431.539,0.171,0.636,ASDC_mDC,7
`Rat-IgG1-2`,2.457,1022.528,0.122,0.455,ASDC_mDC,8
CD307d,0.439,1022.528,0.122,0.455,ASDC_mDC,9
CD49d,-3.791,1392.585,0.317,0.619,ASDC_mDC,10
CD123,3.761,2492.757,0.027,1.000,ASDC_pDC,1
`LOX-1`,-0.615,2492.757,0.027,1.000,ASDC_pDC,2
CD45RO,0.335,2492.757,0.027,1.000,ASDC_pDC,3
`CD138-2`,-0.518,2492.757,0.027,1.000,ASDC_pDC,4
CD96,0.739,2492.757,0.027,1.000,ASDC_pDC,5
CD34,2.293,1246.378,0.027,0.500,ASDC_pDC,6
CX3CR1,-2.937,830.919,0.027,0.333,ASDC_pDC,7
CD66b,0.906,830.919,0.027,0.333,ASDC_pDC,8
CD201,0.531,1246.378,0.027,0.500,ASDC_pDC,9
CD45RA,-2.163,830.919,0.054,0.333,ASDC_pDC,10
CD141,6.440,541.631,0.875,0.893,cDC1,1
`TCR-1`,-0.507,541.631,0.875,0.893,cDC1,2
CD66b,0.900,541.631,0.875,0.893,cDC1,3
CD169,-0.787,557.921,0.901,0.919,cDC1,4
CD226,0.944,565.511,0.901,0.932,cDC1,5
CD340,1.547,565.790,0.908,0.932,cDC1,6
CD123,-2.451,578.090,0.928,0.953,cDC1,7
CD307e,-0.040,578.090,0.928,0.953,cDC1,8
CD303,-0.729,573.990,0.921,0.946,cDC1,9
GP130,-1.774,581.681,0.914,0.959,cDC1,10
CLEC12A,2.922,23.863,0.001,0.200,cDC2_1,1
CD1d,1.553,43.750,0.028,0.367,cDC2_1,2
CD163,3.112,62.836,0.115,0.527,cDC2_1,3
CD2,1.480,62.780,0.234,0.526,cDC2_1,4
`Integrin-7`,-0.079,62.086,0.232,0.520,cDC2_1,5
`CD45-2`,-1.928,61.457,0.265,0.515,cDC2_1,6
CD271,-1.891,63.152,0.304,0.529,cDC2_1,7
`CD11b-1`,-1.872,68.918,0.380,0.578,cDC2_1,8
CD43,-1.257,69.762,0.375,0.585,cDC2_1,9
`HLA-DR`,0.638,69.523,0.383,0.583,cDC2_1,10
CLEC12A,2.448,5.924,0.001,0.111,cDC2_2,1
CD1c,2.968,42.194,0.566,0.791,cDC2_2,2
`Integrin-7`,1.881,43.433,0.745,0.815,cDC2_2,3
CD325,2.178,43.706,0.776,0.820,cDC2_2,4
`HLA-DR`,1.773,43.892,0.781,0.823,cDC2_2,5
CD305,-2.213,45.298,0.843,0.850,cDC2_2,6
Folate,-2.066,46.059,0.862,0.864,cDC2_2,7
CD19,-2.047,46.800,0.872,0.878,cDC2_2,8
CD304,-0.724,46.981,0.879,0.881,cDC2_2,9
CD14,-2.245,47.110,0.887,0.884,cDC2_2,10
CD123,4.124,97.539,0.921,0.912,pDC,1
CD304,3.763,101.181,0.969,0.946,pDC,2
`CD38-1`,-0.679,102.234,0.971,0.955,pDC,3
CD54,-0.311,102.118,0.971,0.954,pDC,4
CD62P,1.242,102.565,0.966,0.959,pDC,5
CD271,-0.832,103.287,0.969,0.965,pDC,6
`HLA-DR`,-1.468,103.774,0.971,0.970,pDC,7
`Galectin-9`,0.507,103.770,0.970,0.970,pDC,8
CD127,0.791,103.774,0.971,0.970,pDC,9
`Integrin-7`,-0.550,103.891,0.970,0.971,pDC,10
CD64,2.132,15.699,0.708,0.766,CD14 Mono,1
CD14,2.812,16.877,0.833,0.824,CD14 Mono,2
CD155,2.537,17.141,0.848,0.837,CD14 Mono,3
CD223,1.484,17.212,0.856,0.840,CD14 Mono,4
CD35,2.170,18.281,0.889,0.892,CD14 Mono,5
CD16,-2.433,18.722,0.922,0.914,CD14 Mono,6
CD243,-1.994,18.803,0.920,0.918,CD14 Mono,7
CD47,-2.144,18.889,0.927,0.922,CD14 Mono,8
CD21,-1.640,18.912,0.934,0.923,CD14 Mono,9
CD294,-0.324,18.925,0.934,0.924,CD14 Mono,10
CD86,1.869,13.306,0.472,0.649,CD16 Mono,1
CD16,1.785,17.806,0.750,0.869,CD16 Mono,2
MERTK,2.842,18.159,0.809,0.886,CD16 Mono,3
CLEC12A,0.896,18.384,0.835,0.897,CD16 Mono,4
CD39,1.732,18.421,0.858,0.899,CD16 Mono,5
CD99,-4.538,18.831,0.900,0.919,CD16 Mono,6
`CD38-1`,-1.599,18.896,0.908,0.922,CD16 Mono,7
CD22,-1.575,18.942,0.916,0.924,CD16 Mono,8
`CD275-2`,1.100,18.959,0.918,0.925,CD16 Mono,9
CD43,0.397,18.977,0.919,0.926,CD16 Mono,10
`CD38-1`,0.951,11.200,0.002,0.067,NK Proliferating,1
`CD56-2`,1.001,33.600,0.002,0.200,NK Proliferating,2
CD314,1.823,92.400,0.020,0.550,NK Proliferating,3
CD16,0.173,98.824,0.018,0.588,NK Proliferating,4
CD278,0.476,96.000,0.022,0.571,NK Proliferating,5
CD45RB,-0.813,84.000,0.027,0.500,NK Proliferating,6
`CD44-1`,-0.969,88.667,0.035,0.528,NK Proliferating,7
CD71,1.031,91.875,0.064,0.547,NK Proliferating,8
CD43,1.593,106.909,0.077,0.636,NK Proliferating,9
CD93,-1.418,107.333,0.084,0.639,NK Proliferating,10
CD16,1.678,4.193,0.043,0.188,NK_1,1
CD2,1.331,11.194,0.280,0.501,NK_1,2
CD325,1.220,11.112,0.281,0.497,NK_1,3
CD57,1.876,15.088,0.465,0.675,NK_1,4
CD223,0.906,15.110,0.462,0.676,NK_1,5
`CD3-1`,-2.348,15.710,0.521,0.703,NK_1,6
CD335,-2.412,16.542,0.594,0.740,NK_1,7
CD31,-1.651,16.560,0.618,0.741,NK_1,8
CD43,0.676,16.443,0.619,0.736,NK_1,9
CD8,-0.379,16.636,0.628,0.744,NK_1,10
CD16,1.655,6.530,0.095,0.319,NK_2,1
`CD38-2`,1.304,13.091,0.448,0.639,NK_2,2
CD325,1.053,13.511,0.499,0.659,NK_2,3
CD122,1.118,13.767,0.527,0.672,NK_2,4
CD357,0.603,13.770,0.532,0.672,NK_2,5
`CD44-1`,-2.266,14.717,0.626,0.718,NK_2,6
CD49d,-2.143,15.115,0.660,0.738,NK_2,7
CD161,0.642,15.104,0.663,0.737,NK_2,8
CD8a,0.404,15.324,0.675,0.748,NK_2,9
CD305,0.849,15.406,0.688,0.752,NK_2,10
CD16,0.592,1.339,0.000,0.031,NK_3,1
CD122,1.451,3.197,0.005,0.075,NK_3,2
CD81,0.995,6.591,0.014,0.154,NK_3,3
`CD56-2`,0.276,8.836,0.015,0.206,NK_3,4
CD337,0.965,8.746,0.023,0.204,NK_3,5
`CD3-1`,-1.730,12.073,0.029,0.282,NK_3,6
CD55,-1.241,12.495,0.033,0.292,NK_3,7
CD117,-0.550,12.869,0.035,0.300,NK_3,8
`CD38-1`,-0.912,18.450,0.081,0.431,NK_3,9
CD195,1.147,20.278,0.107,0.473,NK_3,10
CD335,1.735,31.865,0.162,0.511,NK_4,1
CD122,1.923,32.870,0.180,0.527,NK_4,2
`CD56-2`,0.365,31.067,0.156,0.498,NK_4,3
